2018021030,10,away,False,OT,Mike Babcock,2,30,14,8,2.0,0.0,43.1,4,6,24
2018021055,22,home,False,REG,Ken Hitchcock,2,33,23,4,4.0,0.0,41.2,13,10,15
2018021055,10,away,True,REG,Mike Babcock,3,40,21,8,2.0,1.0,58.8,17,8,12
2018021065,10,home,False,REG,Mike Babcock,2,28,14,2,2.0,0.0,54.7,21,8,7
2018021065,14,away,True,REG,Jon Cooper,6,42,20,4,1.0,0.0,45.3,16,6,8
2018021080,10,home,False,REG,Mike Babcock,4,47,15,0,1.0,1.0,55.9,16,12,9
2018021080,16,away,True,REG,Jeremy Colliton,5,39,10,2,0.0,0.0,44.1,23,4,28
2018021093,10,home,True,REG,Mike Babcock,7,51,11,6,4.0,1.0,56.9,21,7,8
2018021093,4,away,False,REG,Scott Gordon,6,29,13,10,2.0,0.0,43.1,18,8,26
2018021104,9,home,True,REG,Marc Crawford,6,44,25,6,4.0,0.0,39.7,14,6,22
2018021104,10,away,False,REG,Mike Babcock,2,37,29,8,3.0,1.0,60.3,6,6,12
2018021128,18,home,True,REG,Peter Laviolette,3,20,18,6,1.0,0.0,55.3,17,9,18
2018021128,10,away,False,REG,Mike Babcock,0,22,11,2,3.0,0.0,44.7,8,4,11
2018021132,7,home,False,REG,Phil Housley,2,24,26,6,2.0,1.0,45.5,4,3,14
2018021132,10,away,True,REG,Mike Babcock,4,46,7,4,3.0,0.0,54.5,6,4,10
2018021154,10,home,False,OT,Mike Babcock,1,45,16,6,3.0,0.0,60.3,18,6,13
2018021154,3,away,True,OT,David Quinn,2,28,28,6,3.0,0.0,39.7,9,8,33
2018021169,10,home,True,REG,Mike Babcock,7,37,25,8,3.0,1.0,55.4,16,15,15
2018021169,13,away,False,REG,Bob Boughner,5,36,21,8,3.0,1.0,44.6,10,6,17
2018021185,4,home,True,REG,Scott Gordon,4,44,20,4,1.0,0.0,47.5,14,7,17
2018021185,10,away,False,REG,Mike Babcock,4,42,20,2,2.0,0.0,52.5,8,4,9
2018021205,9,home,True,REG,Marc Crawford,4,22,26,16,3.0,1.0,37.7,22,6,23
2018021205,10,away,False,REG,Mike Babcock,2,44,29,16,3.0,1.0,62.3,11,5,13
2018021223,2,home,False,REG,Barry Trotz,1,29,25,4,4.0,1.0,46.8,23,4,11
2018021223,10,away,True,REG,Mike Babcock,2,38,21,8,2.0,0.0,53.2,26,8,19
2018021231,10,home,False,REG,Mike Babcock,1,24,22,6,3.0,1.0,59.0,12,8,15
2018021231,12,away,True,REG,Rod Brind'Amour,4,37,23,10,1.0,1.0,41.0,3,7,16
2018021243,10,home,False,REG,Mike Babcock,1,30,26,2,2.0,0.0,45.5,22,11,10
2018021243,14,away,True,REG,Jon Cooper,3,29,28,4,1.0,0.0,54.5,8,8,14
2018021259,8,home,True,REG,Claude Julien,5,49,25,2,1.0,1.0,56.4,18,9,21
2018021259,10,away,False,REG,Mike Babcock,5,49,8,2,1.0,0.0,43.6,10,7,11
